date	prec	tmax	tmin
19710404	0	33.2	25.8
19710405	0	32.7	26
19710406	0	33.9	26.3
19710407	0	34	25.9
19710408	0	33	26.3
19710409	0	32.7	26.1
19710410	0	32.5	24.6
19710411	0	32.3	24.6
19710412	0	32.5	24.9
19710413	0	33.1	25.9
19710414	0	33.4	25.6
19710415	0	34.5	26.7
19710416	0	33.6	26.4
19710417	0.6	33.3	22.8
19710418	0	34.1	21.8
19710419	0	33.8	26.6
19710420	0	34.4	26.6
19710421	0	33.3	27.2
19710422	0	33.8	25
19710423	13.9	32.8	24.4
19710424	0	32	25.6
19710425	0	31.8	25.7
19710426	0	33.6	25.8
19710427	0	36.5	26.7
19710428	1	34.8	27
19710429	0	34.2	26.6
19710430	0	33.8	26
19710501	0	33.6	26.9
19710502	0	33.8	26.1
19710503	0	35.6	26.8
19710504	0	39.5	28.2
19710505	0	40	28.5
19710506	0	40.6	27.7
19710507	0	40.6	28.2
19710508	0	37.1	28
19710509	0	34.8	27.3
19710510	0	34.7	27.8
19710511	0	33.6	27.6
19710512	0	33.1	27.7
19710513	0	34.5	27.6
19710514	0	34	27.9
19710515	0	34.2	26.1
19710516	0	35.5	27.9
19710517	0	34.7	26.1
19710518	0	33.1	26.2
19710519	0	37	27.7
19710520	0	36.7	26
19710521	0	37.4	27.9
19710522	0	38.5	27.8
19710523	0	39.2	28.5
19710524	0	39.2	28.7
19710525	0	38.9	29.1
19710526	0	39.1	27.9
19710527	0	39.2	27
19710528	0.2	36.9	25.9
19710529	0	33.6	27.3
19710530	0	36.6	27.3
19710531	15.8	36.8	24.6
19710601	0	35.2	25.4
19710602	0	31.1	25.4
19710603	3.4	31.2	24.6
19710604	0	31.2	26
19710605	0	34.8	26.4
19710606	0	35.1	26.7
19710607	0	34.5	27.3
19710608	0.4	36.3	26.5
19710609	0	37	27.8
19710610	0	36.7	26.2
19710611	0	36.1	25.6
19710612	3	38.7	25.6
19710613	0	37.1	27
19710614	0	36.9	27.8
19710615	23.6	39.1	23.5
19710616	0	33.1	26
19710617	0	32.7	25.5
19710618	0	36.4	26.3
19710619	0	36.9	27.8
19710620	0	37.1	28
19710621	0	34.8	27.5
19710622	0	35.1	26.7
19710623	0	34.8	27
19710624	0	34.8	27.2
19710625	0	36.9	26.9
19710626	0.1	37.1	27.7
19710627	15.8	37.9	25.4
19710628	0.8	34.5	25.9
19710629	3	37.1	25.6
19710630	0	35.5	27.1
19710701	0	37.1	27.5
19710702	0	35.9	27.3
19710703	0	36.2	26.7
19710704	0	37.3	25.7
19710705	15.1	35.3	23.7
19710706	5.8	34.5	23.2
19710707	0	30.7	25.3
19710708	2.4	34.2	24.5
19710709	1	35.6	26.1
19710710	0	35.9	25.5
19710711	0	36.1	24.7
19710712	0	34.1	24.3
19710713	0	35.3	25.6
19710714	0	36.2	26.3
19710715	11	35.6	22.5
19710716	0	33.8	26.3
19710717	0	33.8	26.5
19710718	0	36.7	26.9
19710719	0	36.5	26.9
19710720	0	36.7	27.1
19710721	12.5	35.3	24.2
19710722	0	34	25.9
19710723	0	35.7	26.7
19710724	0	35.5	26.2
19710725	0	35.5	25.1
19710726	0	35.5	25.6
19710727	0.3	34.6	26.7
19710728	0	35.4	26.2
19710729	0	33.8	26
19710730	0.4	36.1	24.2
19710731	7.2	34.4	22.6
19710801	7	29.3	22.2
19710802	0	33.4	24.9
19710803	0	33.6	26.2
19710804	0	32.9	26.7
19710805	0	35.7	26.4
19710806	0	33.7	27
19710807	0	36.6	26.9
19710808	0	34.3	27
19710809	0	35	26
19710810	0.2	35.7	26
19710811	1	36.7	25.3
19710812	21.5	35.6	23.7
19710813	0	30.7	24
19710814	0	32.8	25.6
19710815	0	35.8	26.2
19710816	0.1	35.8	25.2
19710817	0.4	35.1	25.4
19710818	0	35.8	27.3
19710819	0	34.3	25.3
19710820	0	35	26.2
19710821	0.4	33.3	25.5
19710822	0.4	29.2	25.4
19710823	13.2	30.8	24
19710824	1.2	27.5	24.6
19710825	19.6	32	24.5
19710826	0.8	32.5	25.2
19710827	0	34.3	26.5
19710828	0	32.7	25.7
19710829	0	33.7	25.6
19710830	0	33.9	26.4
19710831	0	33.6	25.5
19710901	0	35	26
19710902	0	35.2	26.9
19710903	0	30.9	26.5
19710904	17.2	33.8	23
19710905	0	31.6	24.9
