Date,prec,tmin,tmax,tmean,srad
19820614,1.1,20.2,31.4,25.8,20
19820615,0,20.4,30.3,25.35,19
19820616,0,20.6,30.9,25.75,16
19820617,1.7,21.4,30.1,25.75,15
19820618,0,21.4,27.7,24.55,11
19820619,4.8,21.2,26.7,23.95,11
19820620,0.2,20.2,29.9,25.05,17
19820621,0,21.6,29.6,25.6,13
19820622,0,20.4,30.8,25.6,14
19820623,0,21,30.5,25.75,15
19820624,1,20.1,30.2,25.15,18
19820625,13.6,20.3,31.1,25.7,20
19820626,0,20.5,30.5,25.5,16
19820627,0,20.5,30.9,25.7,19
19820628,0,19.1,31,25.05,20
19820629,0,18.9,31.9,25.4,20
19820630,0,19.7,30,24.85,16
19820701,0,21,31,26,16
19820702,1.1,21.4,31.2,26.3,17
19820703,1,21.4,31,26.2,17
19820704,0,18.9,31,24.95,18
19820705,0,21.5,30.7,26.1,16
19820706,0,20.9,29.6,25.25,12
19820707,0,20.4,31,25.7,16
19820708,0,19.6,28.8,24.2,15
19820709,0,19.9,30.3,25.1,13
19820710,0,21,30,25.5,15
19820711,0.6,22.3,31.5,26.9,18
19820712,0,19.6,31.6,25.6,19
19820713,6.4,21.4,31.2,26.3,18
19820714,0.4,21.7,30.3,26,14
19820715,0,19.9,31.1,25.5,16
19820716,0,20.6,31.8,26.2,17
19820717,2.8,20.9,31.8,26.35,17
19820718,0,20,31.3,25.65,18
19820719,0,20.7,31.9,26.3,17
19820720,0,20.6,30.6,25.6,17
19820721,1,20.2,32,26.1,21
19820722,0,21.8,31.6,26.7,19
19820723,8.6,20.8,31.4,26.1,17
19820724,0,20.4,33.2,26.8,19
19820725,0,21.3,30.1,25.7,16
19820726,0,21,28,24.5,13
19820727,7.4,20.2,31.4,25.8,18
19820728,0,19.6,32.4,26,19
19820729,0,20.6,28.7,24.65,12
19820730,0.2,20.4,33,26.7,20
19820731,0,19.5,31.6,25.55,19
19820801,0,20.4,30.3,25.35,14
19820802,7.5,20.3,30,25.15,17
19820803,3.3,21.8,30.7,26.25,16
19820804,2.9,19.3,30.7,25,16
19820805,0,19.9,30.7,25.3,17
19820806,0.7,19.7,31,25.35,19
19820807,27.8,20,28.9,24.45,15
19820808,0,20.5,30.5,25.5,17
19820809,0,20.6,31.7,26.15,21
19820810,0,21.1,31.9,26.5,20
19820811,0,21.3,31.4,26.35,18
19820812,63.4,21.6,28.3,24.95,14
19820813,1.5,21,28.8,24.9,16
19820814,1.2,19.5,29.9,24.7,16
19820815,13.6,19.9,30.5,25.2,18
19820816,0,20.7,30.6,25.65,18
19820817,4.2,20.6,29.4,25,14
19820818,0,19.8,30.1,24.95,20
19820819,0,20,30.6,25.3,16
19820820,16.6,19.7,30.9,25.3,19
19820821,0,20.7,30.9,25.8,19
19820822,0.7,22.5,30.8,26.65,18
19820823,0,21.9,31.2,26.55,19
19820824,0.5,20.9,31.3,26.1,18
19820825,0,20.7,32.1,26.4,21
19820826,0,20.8,32.3,26.55,20
19820827,0,21.3,31.5,26.4,20
19820828,7.7,21.3,31.6,26.45,18
19820829,0,20.8,30.4,25.6,17
19820830,0,21.5,31.9,26.7,18
19820831,2.5,21.6,32.3,26.95,18
19820901,5.4,21.4,31.3,26.35,19
19820902,2,21.8,30.9,26.35,18
19820903,1.8,21.9,28.6,25.25,13
19820904,0,21.8,31,26.4,20
19820905,0,21.4,29.3,25.35,13
19820906,0,20.8,29.8,25.3,14
19820907,0.6,21.3,31.8,26.55,20
19820908,11.5,22,31.2,26.6,18
19820909,0,22.3,31.9,27.1,21
19820910,0.6,21.5,29.9,25.7,15
19820911,0,21.2,30.7,25.95,16
19820912,0.5,21.3,32,26.65,21
19820913,0,21,32.8,26.9,21
19820914,0,20.7,32.1,26.4,19
19820915,0,20.8,31.4,26.1,18
19820916,0.5,21,30.5,25.75,15
19820917,5.3,20.4,33.2,26.8,20
19820918,0,20.3,32.6,26.45,21
19820919,0,19.9,33.4,26.65,19
19820920,0,21.4,31.4,26.4,15
19820921,0,20.6,31.5,26.05,17
19820922,0,21.7,30.2,25.95,15
19820923,10.6,20,31.9,25.95,20
19820924,0,21.2,31.9,26.55,18
19820925,1.2,21,26.2,23.6,11
19820926,16.2,20.8,29.2,25,13
19820927,2.3,20.2,31,25.6,17
19820928,0.2,21,31.1,26.05,20
19820929,0,21.5,31.7,26.6,17
19820930,15.8,21.3,31.4,26.35,19
19821001,9.4,21.3,30.3,25.8,16
19821002,0,20.8,31.4,26.1,17
19821003,0,20.3,30.2,25.25,17
19821004,0,19.2,32,25.6,18
19821005,0,20.8,31.2,26,18
19821006,0,21.1,26.4,23.75,12
19821007,2.5,19.8,31.7,25.75,20
19821008,0,19.6,31.5,25.55,19
19821009,5.4,20.1,31.5,25.8,19
19821010,0,21.9,30.2,26.05,12
19821011,0.4,21.2,28.5,24.85,13
19821012,12,20.1,31.3,25.7,19
19821013,0,21.4,32.2,26.8,15
19821014,0,19.4,32.6,26,20
19821015,0,20.5,32.7,26.6,17
19821016,3.9,20.4,31.3,25.85,18
19821017,0,21.6,31.8,26.7,19
19821018,0,22.4,31.2,26.8,18
19821019,0.9,20.2,32,26.1,19
19821020,2.8,22.2,31.9,27.05,18
19821021,0,22.2,31.9,27.05,16
19821022,21.1,20.7,31.6,26.15,16
19821023,0,20.4,30.5,25.45,17
19821024,11.8,20.5,32.1,26.3,19
19821025,0,20.2,31.7,25.95,20
19821026,0.9,20.4,31.1,25.75,17
19821027,13.2,20.9,30.2,25.55,16
19821028,0,20.1,30.1,25.1,15
19821029,6.4,20.2,27.5,23.85,11
19821030,6.4,20.4,31,25.7,15
19821031,6,19.6,31.6,25.6,16
19821101,0,21.4,30.2,25.8,15
19821102,0,21,30.9,25.95,15
19821103,0,18.8,30,24.4,14
19821104,0,18.4,32,25.2,19
19821105,0,19.2,32.2,25.7,18
19821106,0,19.6,31.8,25.7,19
19821107,0,19.9,32.9,26.4,19
19821108,1.3,20.7,32.6,26.65,18
19821109,0,20.8,30.6,25.7,15
19821110,0,20,31.5,25.75,16
19821111,0,20.4,32,26.2,16
19821112,0,20.4,32.2,26.3,16
19821113,0,20.6,33.2,26.9,18
19821114,0,20,33.2,26.6,18
19821115,0,19.9,33,26.45,19
19821116,0,20.8,33,26.9,18
19821117,0,20.6,33.5,27.05,18
19821118,0,21.8,30.5,26.15,10
19821119,0,21.5,32,26.75,15
19821120,0,20.4,31.3,25.85,15
19821121,0,20.2,32.4,26.3,16
